,p_before,p_chamber_pressure_predischarge,t_cd_discharge_request,U_Bt_final,U_CD_final,b_plasma
41509,0.79,13.20,"2000
",872,455,0.000
41510,0.79,13.60,"1000
",830,521,1.000
41511,0.80,14.50,"1000
",834,522,1.000
41512,0.80,15.40,"1000
",888,520,1.000
41513,0.79,16.60,"1200
",881,506,1.000
41514,0.79,21.00,"1000
",948,525,1.000
41515,0.79,23.10,"1000
",992,515,1.000
41516,0.79,15.20,"1000
",801,526,1.000
41517,1.31,10.50,"1000
",803,525,1.000
41518,0.80,8.05,"1000
",828,513,1.000
41519,0.80,7.91,"1000
",830,514,1.000
41520,0.81,8.48,"1000
",804,521,1.000
41521,0.81,8.80,"1000
",800,516,1.000
41522,0.81,0.81,"1000
",829,515,0.000
41523,0.81,9.15,"1000
",817,532,1.000
41524,0.81,9.79,"1000
",915,514,1.000
41525,3.81,6.76,"0
",262,262,0.000
41530,0.88,7.39,"0
",252,252,0.000
41532,0.87,0.88,"0
",246,246,0.000
41533,0.87,0.87,"0
",235,235,0.000
41534,0.85,11.70,"1000
",823,506,0.000
41535,0.83,0.83,"1000
",809,523,0.000
41536,0.83,12.10,"1000
",822,502,1.000
41537,0.83,8.52,"0
",232,232,0.000
41538,0.82,0.82,"1000
",809,525,0.000
41539,0.81,12.80,"1000
",807,521,1.000
41540,0.82,16.30,"1000
",800,514,1.000
41541,0.82,17.80,"1000
",814,527,1.000
41542,1.95,5.42,"1000
",830,523,0.000
41543,1.01,4.74,"1000
",822,515,1.000
41544,0.91,4.85,"1000
",823,516,0.000
41545,0.89,6.63,"1000
",815,503,0.000
41546,0.88,7.46,"1000
",821,513,1.000
41547,0.86,0.82,"1000
",821,513,1.000
41548,0.82,22.90,"1000
",,,0.000
41549,0.82,14.00,"1000
",820,509,1.000
41550,0.81,20.40,"1000
",818,510,1.000
41551,0.80,14.10,"0
",829,521,1.000
41552,0.80,15.30,"2000
",823,517,1.000
41553,0.80,16.20,"1000
",814,501,1.000
41554,0.79,16.70,"1000
",814,500,1.000
41555,0.79,16.70,"1500
",823,514,1.000
41556,0.79,17.60,"1500
",975,522,1.000
41557,0.78,16.10,"1000
",819,511,1.000
41558,0.78,14.60,"1000
",806,527,1.000
41559,0.78,9.25,"1000
",821,511,1.000
41560,0.77,0.77,"1000
",819,509,0.000
41561,0.77,0.77,"1000
",826,520,0.000
41562,0.77,10.00,"1000
",815,502,1.000
41563,0.76,6.82,"1000
",828,521,1.000
41564,0.77,7.18,"1000
",809,527,1.000
41565,0.77,7.50,"1000
",802,525,1.000
41566,0.76,7.29,"1000
",812,531,1.000
41568,0.76,7.78,"1000
",822,514,
41569,0.76,8.04,"1000
",809,527,1.000
41570,0.76,8.23,"1000
",819,506,1.000
41571,0.76,8.30,"1000
",803,525,1.000
41572,0.76,8.73,"1000
",816,533,1.000
41573,0.76,9.05,"1000
",828,518,1.000
41574,0.76,9.03,"1000
",814,530,0.000
41575,0.76,9.29,"1000
",814,531,1.000
41576,0.75,11.80,"1000
",812,529,0.000
41577,0.76,9.45,"1000
",812,529,0.000
41578,0.75,12.10,"1000
",805,525,0.000
41579,0.75,11.60,"1000
",805,526,1.000
41580,1.03,1.11,"1000
",823,507,0.000
41581,1.01,292.00,"1000
",826,511,0.000
41582,11.40,12.90,"1000
",825,509,1.000
41583,0.94,9.26,"1000
",807,524,1.000
41584,0.89,67.80,"1000
",822,505,1.000
41585,0.88,7.54,"1000
",802,518,1.000
41586,1.25,40.90,"0
",244,244,0.000
41587,0.94,16.40,"1000
",825,516,1.000
41588,0.92,16.90,"1000
",823,515,1.000
41589,0.90,17.80,"1000
",829,521,0.000
41590,0.88,18.30,"1000
",821,510,1.000
41591,0.86,18.30,"1000
",816,504,1.000
41592,0.85,0.85,"1000
",808,527,0.000
41593,0.85,17.20,"1000
",820,508,1.000
41594,0.84,17.90,"1000
",826,518,0.000
41595,0.84,18.30,"1000
",822,515,1.000
41596,0.83,17.90,"1000
",821,506,0.000
41597,0.82,17.70,"1000
",801,522,0.000
41598,2.33,43.60,"1000
",814,528,0.000
41599,1.47,9.96,"1000
",801,520,1.000
